STRECKE_NR;RICHTUNG;KM_I;KM_L;BEZEICHNUNG;TECHN_SICHERUNG;STRASSENART;GEOGR_BREITE;GEOGR_LAENGE;GK_H_DGN;GK_R_DGN
1000;0;117310013;173,1 + 13;Bü 173.114 Flensburg-Weiche - Flensb. Gr;Schrankenabschluss;Strasse;54,759941;9,39961214;6070137,808;3525801,083
1000;0;117730060;177,3 + 60;Bü 177.36 Flensburg-Weiche - Flensb. Gr;Schrankenabschluss;Strasse;54,79452802;9,37456587;6073979,067;3524168,173
1000;0;117840036;178,4 + 36;Bü 178.436 Flensburg-Weiche - Flensb. Gr;Schrankenabschluss;Strasse;54,80371842;9,36938291;6075000,359;3523829,416
1000;0;117910013;179,1 + 13;Bü 179.113 Flensburg-Weiche - Flensb. Gr;Nicht technisch gesichert;Strasse;54,80950055;9,36611999;6075642,917;3523616,232
1000;0;117950053;179,5 + 53;Bü 179.552 Flensburg-Weiche - Flensb. Gr;Nicht technisch gesichert;Strasse;54,81325834;9,36399819;6076060,519;3523477,636
1011;0;100110082;1,1 + 82;Bü 1.182 Jübek - Husum;Nicht technisch gesichert;Strasse;54,5646065;9,38829438;6048389,901;3525192,718
1011;0;100190033;1,9 + 33;Bü 1.933 Jübek - Husum;Nicht technisch gesichert;Strasse;54,5627858;9,37712632;6048183,3;3524471,406
1011;0;100240071;2,4 + 71;Bü 2.471 Jübek - Husum;Nicht technisch gesichert;Strasse;54,56143366;9,36914607;6048030,049;3523955,976
1011;0;100410018;4,1 + 18;Bü 4.118 Jübek - Husum;Lichtzeichen / Blinklicht;Strasse;54,55729254;9,34471834;6047561,063;3522378,019
1011;0;100440028;4,4 + 28;Bü 4.428 Jübek - Husum;Lichtzeichen / Blinklicht;Strasse;54,5565126;9,34012106;6047472,796;3522081,013
1011;0;100510004;5,1 + 4;Bü 5.104 Jübek - Husum;Schrankenabschluss;Strasse;54,55481061;9,33009691;6047280,251;3521433,367
1011;0;100610069;6,1 + 69;Bü 6.169 Jübek - Husum;Nicht technisch gesichert;Strasse;54,55056545;9,31549994;6046803,37;3520491,063
1011;0;100820057;8,2 + 57;Bü 8.259 Jübek - Husum;Nicht technisch gesichert;Strasse;54,53930335;9,28970912;6045542,56;3518827,386
1011;0;100930027;9,3 + 27;Bü 9.329 Jübek - Husum;Schrankenabschluss;Strasse;54,53352555;9,27650865;6044895,972;3517975,519
1011;0;100960004;9,6 + 4;Bü 9.606 Jübek - Husum;Nicht technisch gesichert;Fuss- und Radwege;54,5320344;9,27309535;6044729,123;3517755,207
1011;0;101060009;10,6 + 9;Bü 10.611 Jübek - Husum;Nicht technisch gesichert;Strasse;54,52556797;9,2623648;6044006,676;3517063,237
1011;0;101210038;12,1 + 38;Bü 12.144 Jübek - Husum;Schrankenabschluss;Strasse;54,51459363;9,24818551;6042781,751;3516149,488
1011;0;101330052;13,3 + 52;Bü 13.345 Jübek - Husum;Nicht technisch gesichert;Strasse;54,50589044;9,23690458;6041810,45;3515422,154
1011;0;101430050;14,3 + 50;Bü 14.348 Jübek - Husum;Schrankenabschluss;Strasse;54,50229305;9,22340824;6041407,153;3514549,165
1011;0;101500080;15,0 + 80;Bü 15.08 Jübek - Husum;Nicht technisch gesichert;Strasse;54,50152898;9,2122261;6041319,859;3513825,006
1011;0;101580015;15,8 + 15;Bü 15.82 Jübek - Husum;Schrankenabschluss;Strasse;54,50077204;9,20095661;6041233,458;3513095,158
1011;0;101660015;16,6 + 15;Bü 16.615 Jübek - Husum;Nicht technisch gesichert;Strasse;54,49773946;9,19005452;6040893,929;3512389,77
1011;0;101740070;17,4 + 70;Bü 17.47 Jübek - Husum;Nicht technisch gesichert;Strasse;54,49195631;9,18145827;6040248,717;3511834,474
1011;0;102040046;20,4 + 46;Bü 20.446 Jübek - Husum;Schrankenabschluss;Strasse;54,48047101;9,14025796;6038964,149;3509167,254
1011;0;102180003;21,8 + 3;Bü 21.8 Jübek - Husum;Nicht technisch gesichert;Strasse;54,47775478;9,12002295;6038659,372;3507856,179
1011;0;102270087;22,7 + 87;Bü 22.786 Jübek - Husum;Nicht technisch gesichert;Fuss- und Radwege;54,47769566;9,10485044;6038651,22;3506872,673
1011;0;102290061;22,9 + 61;Bü 22.961 Jübek - Husum;Nicht technisch gesichert;Fuss- und Radwege;54,47799215;9,10221148;6038683,972;3506701,562
1011;0;102310088;23,1 + 88;Bü 23.192 Jübek - Husum;Schrankenabschluss;Strasse;54,47870055;9,09893808;6038762,523;3506489,263
1011;0;102460099;24,6 + 99;Bü 24.7 Jübek - Husum;Schrankenabschluss;Strasse;54,47779239;9,07602289;6038659,587;3505003,993
1011;0;102500040;25,0 + 40;Bü 25.04 Jübek - Husum;Schrankenabschluss;Strasse;54,47585688;9,07207917;6038443,87;3504748,573
1011;0;102570039;25,7 + 39;Bü 25.737 Jübek - Husum;Nicht technisch gesichert;Strasse;54,47237516;9,06328723;6038055,761;3504178,982
1020;0;100420052;4,2 + 52;Bü 4.25 Kiel-Hassee C. - Flensburg;Schrankenabschluss;Strasse;54,31982174;10,09173495;6021622,736;3571115,727
1020;0;100560096;5,6 + 96;Bü 5.7 Kiel-Hassee C. - Flensburg;Schrankenabschluss;Strasse;54,33167;10,08268201;6022932,415;3570506,424
1020;0;100790010;7,9 + 10;Bü 7.91 Kiel-Hassee C. - Flensburg;Schrankenabschluss;Strasse;54,35038911;10,09160272;6025024,878;3571054,453
